Name,Status,Assign,Priority,Due Date,Date Created
Draft key results to share at your first meeting,Completed,,High 🔥,"July 12, 2022","August 27, 2022 3:42 PM"
"Schedule weekly meetings ",Completed,,High 🔥,"July 17, 2022","August 27, 2022 3:42 PM"
"Review first Draft of Application Process ",Completed,,High 🔥,"August 10, 2022","August 27, 2022 3:42 PM"
Schedule first working group meeting for the week of July 10th-17th (recurring meetings),Completed,,High 🔥,"July 12, 2022","August 27, 2022 3:42 PM"
Update the application form,Completed,,High 🔥,"August 18, 2022","August 27, 2022 3:42 PM"
Make an information package for the builders + parents,Completed,,High 🔥,"August 18, 2022","August 27, 2022 3:42 PM"
Create a document that says what builders can do as Learning Artifact after their trip,Not Started,,Medium,"August 18, 2022","August 27, 2022 3:42 PM"
"Research potential list of Events ",Completed,,High 🔥,"July 19, 2022","August 27, 2022 3:42 PM"
Research potential list of Events + Review & Comment the ones we already have,Completed,,High 🔥,"July 28, 2022","August 27, 2022 3:42 PM"
"Identify which events fulfill Dream DAO's mission (social impact, partners, future builders + aspiring champions, guest speakers, etc).",Completed,,High 🔥,"August 4, 2022","August 27, 2022 3:42 PM"
