Name,"Cost in proposal ","Estimate of actual cost ",Explanation,Priority
Stewards,28000,16000,"The Stewards are the people who help lead the DAO through high-level strategy, decisions, and community building. We will likely have two Co-stewards paid ~$2,000/month.",1 - Must do
Dream DAO Working Groups,20000,16400,"We have several working groups within Dream DAO that each serves an important purpose. There will be a coordinator that receives a fixed payment each month for overseeing and being accountable for the working group. Each working group would also have some allocated budget, with different working groups likely having different budgets based on need. The working groups are as follows:

1. Governance 

2. Partnerships 

3. Community Building

4. Gatherings

5. NEAR

Working group leads are paid $750/month, except NEAR is $500/month.The rest of the budget is for working group bounties. ",1 - Must do
Explorers Program,18000,16500,"The Explorers of the https://www.notion.so/057b51e4dc864f68bf9fe93bf1464d2f?pvs=21 will be paid by web3 organizations they match with. Dream DAO will a payment to Builders who successfully complete the program (~$1,500).

There are 11 Explorers. 

August budget ",1 - Must do
"NEAR Education Group ",10000,10000,"NEAR Education group for the grant we received, 5 members at $2,000/each. ",1 - Must do
Recurring roles that don’t fit under a Working Group,4400,4400,"Recurring roles are…
→Learning Together coordinator 
→LT recap thread writer 
→Dream Journal writers 
→ POAP wizard 
→Communications coordinator 
→Thank you card 

Roles are paid $17/hour unless otherwise specified ",1 - Must do
New Builder welcome airdrop,4000,4000,"Welcome drop for Builders after they set up an ETH wallet to get an ENS and move some assets onto an L2 (eg, Optimism, Polygon)",1 - Must do
"Creating Learning Content for Celo ",0,4000,"For the Celo grant, they asked us to: 
→Host 5 LTs with them 
→Create 1 accessible onboarding document 1 accessible onboarding video
→Interview 5 of their leaders 

The cost comes from paying Builders/Champions to create these.",1 - Must do
Miscellaneous DAO Bounties + Micro-grants,10000,2000,"Miscellaneous bounties of tasks that do not fall under any working group- decided by the Co-stewards/Coordinaton Wizard. ",2 - Should do
Dream DAO member travel,30000,20000,"This is part of our Celo grant. 

Let’s assume that each trip for an individual costs ~$1,500. That allows ~15 individual trips to happen if we budget $20,000 for that.

Mexico is August budget ",3- Could do
Dream DAO design + marketing + swag,7000,1000,"Marketing costs like sending out T-Shirts and making designs. ",3- Could do
