Name,Status,Assign,Priority,Due Date
Draft key results to share at your first meeting,Completed,,High 🔥,"July 12, 2022"
"Schedule weekly meetings ",Completed,,High 🔥,"July 17, 2022"
"Review first Draft of Application Process ",Completed,,High 🔥,"August 10, 2022"
Schedule first working group meeting for the week of July 10th-17th (recurring meetings),Completed,,High 🔥,"July 12, 2022"
Update the application form,Completed,,High 🔥,"August 18, 2022"
Make an information package for the builders + parents,Completed,,High 🔥,"August 18, 2022"
Create a document that says what builders can do as Learning Artifact after their trip,Not Started,,Medium,"August 18, 2022"
"Research potential list of Events ",Completed,,High 🔥,"July 19, 2022"
Research potential list of Events + Review & Comment the ones we already have,Completed,,High 🔥,"July 28, 2022"
"Identify which events fulfill Dream DAO's mission (social impact, partners, future builders + aspiring champions, guest speakers, etc).",Completed,,High 🔥,"August 4, 2022"
